,AAPL (NASD),,,,
Date,Open,High,Low,Close,Volume
8/26/2021,148.35,149.12,147.51,147.54,"48,597,195"
8/25/2021,149.81,150.32,147.8,148.36,"58,991,297"
8/24/2021,149.45,150.86,149.15,149.62,"48,606,428"
8/23/2021,148.31,150.19,147.89,149.71,"60,131,810"
8/20/2021,147.44,148.5,146.78,148.19,"60,549,630"
8/19/2021,145.03,148,144.5,146.7,"86,960,310"
8/18/2021,149.8,150.72,146.15,146.36,"86,325,990"
8/17/2021,150.23,151.68,149.09,150.19,"92,229,735"
8/16/2021,148.54,151.19,146.47,151.12,"103,558,782"
8/13/2021,148.97,149.44,148.27,149.1,"59,375,009"
8/12/2021,146.19,149.05,145.84,148.89,"73,779,113"
8/11/2021,146.05,146.72,145.53,145.86,"48,493,463"
8/10/2021,146.44,147.71,145.3,145.6,"69,023,081"
8/9/2021,146.2,146.7,145.52,146.09,"48,908,689"
8/6/2021,146.35,147.11,145.63,146.14,"54,126,813"
8/5/2021,146.98,147.84,146.17,147.06,"46,397,674"
8/4/2021,147.27,147.79,146.28,146.95,"56,368,271"
8/3/2021,145.81,148.05,145.18,147.36,"64,786,618"
8/2/2021,146.36,146.95,145.25,145.52,"62,879,961"
7/30/2021,144.38,146.33,144.11,145.86,"70,440,626"
7/29/2021,144.69,146.55,144.58,145.64,"56,699,475"
7/28/2021,144.81,146.97,142.54,144.98,"118,931,191"
7/27/2021,149.12,149.21,145.55,146.77,"104,818,578"
7/26/2021,148.27,149.83,147.7,148.99,"72,434,089"
7/23/2021,147.55,148.72,146.92,148.56,"71,447,416"
7/22/2021,145.94,148.2,145.81,146.8,"77,338,156"
7/21/2021,145.53,146.13,144.63,145.4,"74,993,460"
7/20/2021,143.46,147.1,142.96,146.15,"96,350,036"
7/19/2021,143.75,144.07,141.67,142.45,"121,434,571"
7/16/2021,148.46,149.76,145.88,146.39,"93,251,426"
7/15/2021,149.24,150,147.09,148.48,"106,820,297"
7/14/2021,148.1,149.57,147.68,149.15,"127,050,785"
7/13/2021,144.03,147.46,143.63,145.64,"100,827,099"
7/12/2021,146.21,146.32,144,144.5,"76,299,719"
7/9/2021,142.75,145.65,142.65,145.11,"99,890,800"
7/8/2021,141.58,144.06,140.67,143.24,"105,575,458"
7/7/2021,143.54,144.89,142.66,144.57,"104,911,589"
7/6/2021,140.07,143.15,140.07,142.02,"108,181,793"
7/2/2021,137.9,140,137.75,139.96,"78,945,572"
7/1/2021,136.6,137.33,135.76,137.27,"52,485,781"
6/30/2021,136.17,137.41,135.87,136.96,"63,261,393"
6/29/2021,134.8,136.49,134.35,136.33,"64,556,081"
6/28/2021,133.41,135.25,133.35,134.78,"62,111,303"
6/25/2021,133.46,133.89,132.81,133.11,"70,783,746"
6/24/2021,134.45,134.64,132.93,133.41,"68,710,998"
6/23/2021,133.77,134.32,133.23,133.7,"60,214,200"
6/22/2021,132.13,134.08,131.62,133.98,"74,783,618"
6/21/2021,130.3,132.41,129.21,132.3,"79,663,316"
6/18/2021,130.71,131.51,130.24,130.46,"108,953,309"
6/17/2021,129.8,132.55,129.65,131.79,"96,721,669"
6/16/2021,130.37,130.89,128.46,130.15,"91,815,026"
6/15/2021,129.94,130.6,129.39,129.64,"62,746,332"
6/14/2021,127.82,130.54,127.07,130.48,"96,906,490"
6/11/2021,126.53,127.44,126.1,127.35,"53,522,373"
6/10/2021,127.02,128.19,125.94,126.11,"71,186,421"
6/9/2021,127.21,127.75,126.52,127.13,"56,877,937"
6/8/2021,126.6,128.46,126.21,126.74,"74,403,774"
6/7/2021,126.17,126.32,124.83,125.9,"71,057,550"
6/4/2021,124.07,126.16,123.85,125.89,"75,169,343"
6/3/2021,124.68,124.85,123.13,123.54,"76,229,170"
6/2/2021,124.28,125.24,124.05,125.06,"59,278,862"
6/1/2021,125.08,125.35,123.94,124.28,"67,637,118"
5/28/2021,125.57,125.8,124.55,124.61,"71,311,109"
5/27/2021,126.44,127.64,125.08,125.28,"94,625,601"
5/26/2021,126.96,127.39,126.42,126.85,"56,575,920"
5/25/2021,127.82,128.32,126.32,126.9,"72,009,482"
5/24/2021,126.01,127.94,125.94,127.1,"63,092,945"
5/21/2021,127.82,128,125.21,125.43,"79,295,436"
5/20/2021,125.23,127.72,125.1,127.31,"76,857,123"
5/19/2021,123.16,124.92,122.86,124.69,"92,611,989"
5/18/2021,126.56,126.99,124.78,124.85,"63,342,929"
5/17/2021,126.82,126.93,125.17,126.27,"74,244,624"
5/14/2021,126.25,127.89,125.85,127.45,"81,917,951"
5/13/2021,124.58,126.15,124.26,124.97,"105,861,339"
5/12/2021,123.4,124.64,122.25,122.77,"112,172,282"
5/11/2021,123.5,126.27,122.77,125.91,"126,142,826"
5/10/2021,129.41,129.54,126.81,126.85,"88,071,229"
5/7/2021,130.85,131.26,129.48,130.21,"78,973,273"
5/6/2021,127.89,129.75,127.13,129.74,"78,128,334"
5/5/2021,129.2,130.45,127.97,128.1,"84,000,900"
5/4/2021,131.19,131.49,126.7,127.85,"137,564,718"
5/3/2021,132.04,134.07,131.83,132.54,"75,135,100"
4/30/2021,131.78,133.56,131.07,131.46,"109,839,466"
4/29/2021,136.47,137.07,132.45,133.48,"151,100,953"
4/28/2021,134.31,135.02,133.08,133.58,"107,760,097"
4/27/2021,135.01,135.41,134.11,134.39,"66,015,804"
4/26/2021,134.83,135.06,133.56,134.72,"66,905,069"
4/23/2021,132.16,135.12,132.16,134.32,"78,756,779"
4/22/2021,133.04,134.15,131.41,131.94,"84,566,456"
4/21/2021,132.36,133.75,131.3,133.5,"68,847,136"
4/20/2021,135.02,135.53,131.81,133.11,"94,812,349"
4/19/2021,133.51,135.47,133.34,134.84,"94,264,215"
4/16/2021,134.3,134.67,133.28,134.16,"84,922,386"
4/15/2021,133.82,135,133.64,134.5,"89,347,102"
4/14/2021,134.94,135,131.66,132.03,"87,222,782"
4/13/2021,132.44,134.66,131.93,134.43,"91,266,545"
4/12/2021,132.52,132.85,130.63,131.24,"91,419,983"
4/9/2021,129.8,133.04,129.47,133,"106,686,703"
4/8/2021,128.95,130.39,128.52,130.36,"88,844,591"
4/7/2021,125.83,127.92,125.14,127.9,"83,466,716"
4/6/2021,126.5,127.13,125.65,126.21,"80,171,253"
4/5/2021,123.87,126.16,123.07,125.9,"88,651,175"
4/1/2021,123.66,124.18,122.49,123,"75,089,134"
3/31/2021,121.65,123.52,121.15,122.15,"118,323,826"
3/30/2021,120.11,120.4,118.86,119.9,"85,671,919"
3/29/2021,121.65,122.58,120.73,121.39,"80,819,203"
3/26/2021,120.35,121.48,118.92,121.21,"94,071,234"
3/25/2021,119.54,121.66,119,120.59,"98,844,681"
3/24/2021,122.82,122.9,120.07,120.09,"88,530,485"
3/23/2021,123.33,124.24,122.14,122.54,"95,467,142"
3/22/2021,120.33,123.87,120.26,123.39,"111,912,284"
3/19/2021,119.9,121.43,119.68,119.99,"185,549,522"
3/18/2021,122.88,123.18,120.32,120.53,"121,469,755"
3/17/2021,124.05,125.86,122.34,124.76,"111,932,636"
3/16/2021,125.7,127.22,124.72,125.57,"115,227,936"
3/15/2021,121.41,124,120.42,123.99,"92,590,555"
3/12/2021,120.4,121.17,119.16,121.03,"88,105,050"
3/11/2021,122.54,123.21,121.26,121.96,"103,026,514"
3/10/2021,121.69,122.17,119.45,119.98,"111,943,326"
3/9/2021,119.03,122.06,118.79,121.09,"129,525,780"
3/8/2021,120.93,121,116.21,116.36,"154,376,610"
3/5/2021,120.98,121.94,117.57,121.42,"153,766,601"
3/4/2021,121.75,123.6,118.62,120.13,"178,154,975"
3/3/2021,124.81,125.71,121.84,122.06,"112,966,340"
3/2/2021,128.41,128.72,125.01,125.12,"102,260,945"
3/1/2021,123.75,127.93,122.79,127.79,"116,307,892"
2/26/2021,122.59,124.85,121.2,121.26,"164,560,394"
2/25/2021,124.68,126.46,120.54,120.99,"148,199,540"
2/24/2021,124.94,125.56,122.23,125.35,"111,039,904"
2/23/2021,123.76,126.71,118.39,125.86,"158,273,022"
2/22/2021,128.01,129.72,125.6,126,"103,916,419"
2/19/2021,130.24,130.71,128.8,129.87,"87,668,834"
2/18/2021,129.2,130,127.41,129.71,"96,856,748"
2/17/2021,131.25,132.22,129.47,130.84,"98,085,249"
2/16/2021,135.49,136.01,132.79,133.19,"80,576,316"
2/12/2021,134.35,135.53,133.69,135.37,"60,145,130"
2/11/2021,135.9,136.39,133.77,135.13,"64,280,029"
2/10/2021,136.48,136.99,134.4,135.39,"73,046,563"
2/9/2021,136.62,137.88,135.85,136.01,"76,774,213"
2/8/2021,136.03,136.96,134.92,136.91,"71,297,214"
2/5/2021,137.35,137.42,135.86,136.76,"75,693,830"
2/4/2021,136.3,137.4,134.59,137.39,"84,183,061"
2/3/2021,135.76,135.77,133.61,133.94,"89,880,937"
2/2/2021,135.73,136.31,134.61,134.99,"83,305,367"
2/1/2021,133.75,135.38,130.93,134.14,"106,239,823"
1/29/2021,135.83,136.74,130.21,131.96,"177,523,812"
1/28/2021,139.52,141.99,136.7,137.09,"142,621,128"
1/27/2021,143.43,144.3,140.41,142.06,"140,843,759"
1/26/2021,143.6,144.3,141.37,143.16,"98,390,555"
1/25/2021,143.07,145.09,136.54,142.92,"157,611,713"
1/22/2021,136.28,139.85,135.02,139.07,"114,459,360"
1/21/2021,133.8,139.67,133.59,136.87,"120,529,544"
1/20/2021,128.66,132.49,128.55,132.03,"104,319,489"
1/19/2021,127.78,128.71,126.94,127.83,"90,757,329"
1/15/2021,128.78,130.22,127,127.14,"111,598,531"
1/14/2021,130.8,131,128.76,128.91,"90,221,755"
1/13/2021,128.76,131.45,128.49,130.89,"88,636,831"
1/12/2021,128.5,129.69,126.86,128.8,"91,951,145"
1/11/2021,129.19,130.17,128.5,128.98,"100,620,880"
1/8/2021,132.43,132.63,130.23,132.05,"105,158,245"
1/7/2021,128.36,131.63,127.86,130.92,"109,578,157"
1/6/2021,127.72,131.05,126.38,126.6,"155,087,970"
1/5/2021,128.89,131.74,128.43,131.01,"97,664,898"
1/4/2021,133.52,133.61,126.76,129.41,"143,301,887"
12/31/2020,134.08,134.74,131.72,132.69,"99,116,586"
12/30/2020,135.58,135.99,133.4,133.72,"96,452,124"
12/29/2020,138.05,138.79,134.34,134.87,"121,047,324"
12/28/2020,133.99,137.34,133.51,136.69,"124,486,237"
